date_trans,price_trans,appr,xx,yy,id_zip,age,area,sfla,id_market
12/10/2001,119000,93430,834965.8689,1054533.005,63043,28,0.178507189,900,West70
3/8/2005,165700,130000,879677.4904,1083169.487,63033,36,0.212789866,1656,North
3/21/2003,850000,850000,853230.5739,1019851.883,63124,62,1.748481451,4256,Central
3/5/2010,152000,116900,827241.6672,977393.1858,63026,42,0.165108023,900,Southwest
1/3/2006,99000,77100,900409.2883,1060567.273,63137,51,0.182541016,1008,North
9/27/2006,295000,214500,868763.8615,944805.3204,63129,14,0.298795183,2535,South
6/7/2001,90000,72000,874275.506,1083029.178,63033,33,0.20724471,1189,North
4/13/2005,502500,516500,846380.7352,1003530.85,63122,63,0.5012764,2860,South
11/4/2003,281000,203600,827432.9303,996272.8325,63122,7,0.231351676,2326,South
8/23/2007,99000,68400,852720.0591,1055204.112,63074,57,0.212236103,792,East70
5/21/2010,292000,252300,860190.8216,997843.79,63119,71,0.206323302,1812,South
10/4/2001,179900,154240,819148.7763,1009993.035,63011,28,0.181574741,1671,Northwest
5/24/2002,97000,68800,880262.1963,974594.7599,63125,53,0.13892295,800,South
5/24/2007,227000,227000,839150.3233,1040207.969,63146,39,0.229568092,1682,West70
1/7/2004,445000,360700,789022.3374,1028091.962,63005,10,0.278061982,3362,Northwest
7/31/2003,197500,161600,825298.274,972915.667,63026,15,0.217670592,1566,Southwest
7/8/2009,350000,297200,866786.632,1029515.759,63130,70,0.144175293,1802,Central
4/24/2007,88600,104600,861991.138,1053238.73,63134,56,0.143496348,864,East70
8/11/2005,230000,191400,801306.5284,1009217.609,63011,11,0.18920738,1452,Northwest
10/1/2001,73000,96440,866772.3689,1002593.953,63119,44,0.18471073,1290,South
7/9/2002,131400,95600,882161.329,1087428.48,63034,16,0.264901799,1414,North
9/4/2009,90000,100300,875768.5768,1074313.864,63033,48,0.180837889,1066,North
9/16/2002,92000,75250,873722.0524,1078295.635,63033,44,0.181224033,1107,North
10/2/2007,235000,132000,848801.1295,1081468.308,63042,60,3.774849231,1072,West70
7/10/2007,199000,172100,812006.9849,1007785.205,63011,38,0.301397495,1376,Northwest
9/20/2001,68500,54180,875519.4008,1075361.461,63033,44,0.174069868,1134,North
12/21/2005,67000,72100,874073.39,1032702.65,63130,77,0.088158955,1194,Central
5/12/2003,101000,57400,876967.9358,1061550.111,63135,77,0.215219858,1182,North
12/30/2002,210000,160550,848186.3864,989820.9611,63127,52,0.999778326,1368,South
9/19/2005,252000,231600,806411.1511,1018597.98,63017,30,0.242582687,2188,Northwest
10/18/2004,126350,74800,881239.2193,978756.2969,63125,54,0.12691236,1164,South
6/8/2007,141000,115300,848470.4625,1043855.719,63114,48,0.174251429,1026,East70
9/24/2003,165000,139400,819386.9859,1007502.17,63011,35,0.238092218,1678,Northwest
11/22/2005,178000,141400,823383.6807,982142.5991,63026,38,0.161600225,1101,Southwest
